Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Turkmenistan,Total renewable energy,Electricity generation (GWh),3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154
Uzbekistan,Total renewable energy,Electricity generation (GWh),5879,5959,6186,7620,9010,8630,9160,6400,11360,9330,8100,8100,8100,8101.996,8102.046,8102.176,8104.643,8106.29,5904.127,6467.6
Viet Nam,Total renewable energy,Electricity generation (GWh),14066.983,16309.329,17659.684,17872.777,18024.771,18175.359,19223.148,20931.646,25117.756,30470.089,36682.716,42712.625,56538.601,58589.102,61536.253,57491.289,65255.661,89442.819,85952.551,98282.325
Anguilla,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.107,0.874,1.47,2.428,2.314,1.985,2.629
Antigua Barb,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0.158,0.158,0.473,0.473,0.63,0.63,5.355,5.434,5.828,9.608,13.073
Aruba,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,16.638,106.247,112.588,135.34,151.277,161.317,176.077,149.691,143.766,147.104,147.104
Bahamas,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0.154,0.154,0.308,0.463,0.625,0.949,0.96,1.891,1.986,2.12,2.197,2.131,2.82
Barbados,Total renewable energy,Electricity generation (GWh),0,0.155,0.155,0.155,0.155,0.311,0.311,0.932,0.932,1.243,1.554,2.642,3.419,4.351,10.101,13.986,22.589,31.913,33.467,44.345
Belize,Total renewable energy,Electricity generation (GWh),70.838,88.488,87.833,65.314,68.432,84.363,200.867,200.926,225.549,208.687,340.976,338.644,301.897,335.967,353.709,357.94,376.128,402.79,387.316,247.515
BES Islands,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0.7,1.4,1.5,4.9,26.3,32.5,36.7,41.2,40.541,37.941,35.841,45.541,41.641
Br Virgin Is,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0.68,1.361,1.361,1.361,1.361,1.459,1.558,1.558,1.558,1.558
Cayman Is,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.245,9.389,15.227,17.124
Costa Rica,Total renewable energy,Electricity generation (GWh),6823.399,6798.101,7319.206,7357.978,7906.866,7881.516,8037.737,8272.289,8742.063,8791.6,8870.583,8906.302,9258.304,8963.901,9103.991,10641.949,10630.043,11214.831,11239.05,11274.074
